TimeStampDate,AltitudeQnh_meters,AirSpeed_knots,VerticalSpeed_m/s,NormalAcceleration_g,MotorPower_volts
1,79.45,7.4,-9.08,0.6,0
2,93.24,8.4,-3.96,0.9,12
3,63.55,2.5,8.43,1.4,9
4,99.75,7.9,6.07,0.4,4
5,85.16,4.8,8.85,1.9,3
6,82.1,2.2,-6.91,1.4,9
7,77.13,1.2,4.58,1.4,7
8,66.84,9.5,1.21,0.1,2
9,68.65,6.7,-1.78,1.7,12
10,94.49,9.1,-3.43,0.5,5
11,96.72,7.3,9.01,1.9,1
12,60.29,4.4,-1.03,1.0,11
13,89.25,3.5,7.49,1.2,11
14,61.44,4.7,9.27,0.9,5
15,85.08,1.2,-7.72,1.7,2
16,79.67,0.9,-6.21,0.7,1
17,75.24,9.8,8.03,0.0,10
18,59.19,5.2,-8.6,0.8,10
19,73.14,0.5,-6.14,1.5,8
20,62.23,5.5,5.77,1.0,12
21,61.98,6.8,4.11,0.3,10
22,65.18,9.8,6.47,0.2,8
23,54.8,1.5,6.51,1.1,10
24,53.07,0.3,-9.58,1.4,1
25,54.68,3.5,-9.9,0.6,8
26,64.73,1.4,0.26,0.1,4
27,58.96,6.2,4.87,0.6,2
28,73.35,7.2,9.77,1.7,12
29,71.03,1.8,-3.63,1.1,6
30,80.04,4.5,2.82,0.1,4
31,57.94,1.1,3.04,1.9,7
32,94.03,0.7,7.91,0.5,6
33,71.33,5.2,-3.54,0.0,7
34,70.82,9.7,2.82,0.1,1
35,89.26,8.9,5.12,0.4,0
36,68.65,2.7,-5.46,1.6,11
37,76.76,2.9,-3.99,0.3,7
38,71.5,0.2,8.07,1.4,10
39,87.19,8.6,3.07,1.5,1
40,91.8,7.9,-9.63,1.9,1
41,52.89,9.5,3.32,1.7,3
42,70.98,7.2,-4.48,1.5,10
43,94.55,0.3,6.42,0.3,2
44,50.3,9.2,-2.1,1.1,5
45,96.74,6.4,8.85,0.5,8
46,93.77,7.1,-4.46,0.8,12
47,60.65,1.1,-8.44,1.8,10
48,82.51,0.3,7.84,1.5,12
49,83.86,2.5,5.13,0.2,9
50,73.44,0.5,4.7,1.6,0
51,61.73,2.5,-5.69,2.0,5
52,66.92,2.3,-3.2,0.7,2
53,56.03,2.3,9.24,1.0,0
54,76.87,2.1,-0.96,1.3,5
55,83.14,2.3,-1.46,1.2,2
56,68.62,2.1,7.14,1.8,12
57,76.41,7.4,3.33,1.7,3
58,61.04,5.9,0.65,1.0,5
59,85.28,2.3,8.27,2.0,8
60,97.15,9.8,2.63,0.4,5
61,59.84,5.8,-3.92,1.8,10
62,65.58,5.1,4.8,0.0,9
63,91.09,7.0,-8.75,1.9,2
64,82.9,3.8,-8.97,1.8,7
65,92.32,6.0,5.14,0.1,1
66,99.04,1.8,-5.61,1.8,1
